row_id_raw,raw_value,true_clean_value,saving_pred_llm,input_tokens,output_tokens
12,600 off,0.23094688221709,0.2311,414.0,17.0
14,$43.74,0.0683448178877795,0.06835,417.0,17.0
15,20%,0.2,0.2,414.0,16.0
43,55% Off,0.55,0.55,417.0,16.0
62,$69.99,0.0777683948532189,0.0778,417.0,17.0
75,30% off,0.3,0.3,414.0,16.0
91,50% off,0.5,0.5,416.0,16.0
159,27%,0.27,0.27,415.0,16.0
160,50% off,0.5,0.5,414.0,16.0
186,65%,0.65,0.65,413.0,16.0
189,65%,0.65,0.65,412.0,16.0
195,23%,0.23,0.23,414.0,16.0
202,$40 off,0.2247191011235955,0.2247,414.0,17.0
219,50% off,0.5,0.5,414.0,16.0
240,25%,0.25,0.25,417.0,16.0
242,11%,0.11,0.11,414.0,16.0
244,$27.00,0.7716490425835952,0.7716,417.0,17.0
245,$20 off,0.0333338888981483,0.0334,417.0,17.0
285,$50.00,0.25,0.25,416.0,16.0
297,100%,1.0,1.0,412.0,16.0
308,$1.50,0.4322766570605187,0.4325,417.0,17.0
316,80%,0.8,0.8,414.0,16.0
319,42%,0.42,0.42,412.0,16.0
320,100,1.0,1.0,413.0,16.0
341,50%,0.5,0.5,413.0,16.0
342,68% off,0.68,0.68,413.0,16.0
353,100%,1.0,1.0,413.0,16.0
356,80-85%,0.85,,415.0,13.0
379,$10 off,0.5,,415.0,13.0
395,30%,0.3,0.3,413.0,16.0
407,30$,0.1775147928994082,0.1765,414.0,17.0
410,40%,0.4,0.4,413.0,16.0
417,35%,0.35,0.35,413.0,16.0
429,33.4,0.6258197489226157,0.6259,415.0,17.0
430,$60,0.6000600060006,0.6001,414.0,17.0
456,10$,0.2000400080016003,0.2,414.0,16.0
458,$101.99,0.3399779992666422,0.34,415.0,16.0
465,40%,0.4,0.4,412.0,16.0
486,50$,0.1428571428571428,0.1429,412.0,17.0
493,90 % off,0.9,0.9,416.0,16.0
503,50% off,0.5,0.5,414.0,16.0
526,90% off,0.9,0.9,413.0,16.0
531,$200 off,0.1250007812548828,0.125,418.0,16.0
549,61%,0.61,0.61,414.0,16.0
573,43% off,0.43,0.43,413.0,16.0
583,55% off,0.55,0.55,414.0,16.0
585,$15,0.1875234404300537,0.187617,414.0,17.0
586,55%,0.55,0.55,413.0,16.0
595,55% off,0.55,0.55,415.0,16.0
599,$30,0.2307869836141241,0.2308,415.0,17.0
601,33%,0.33,0.33,414.0,16.0
602,84%,0.84,0.84,413.0,16.0
605,150$ off,0.375,0.375,415.0,16.0
609,26% Off,0.26,0.26,416.0,16.0
613,55%,0.55,0.55,413.0,16.0
619,30-40%,0.4,0.35,415.0,48.0
637,100%,1.0,1.0,413.0,16.0
642,$17,0.1082871520479011,0.10829,415.0,17.0
647,$60 off,0.3351955307262569,0.3352,414.0,17.0
663,95%,0.95,0.95,415.0,16.0
670,50% off,0.5,0.5,414.0,16.0
678,25% off,0.25,0.25,416.0,16.0
692,50%,0.5,0.5,412.0,16.0
718,44%,0.44,0.44,412.0,16.0
727,$50,0.0646830530401035,0.0647,414.0,17.0
733,$17.00,0.1030365476695557,0.103,417.0,17.0
734,40%,0.4,0.4,413.0,16.0
746,41%,0.41,0.41,414.0,16.0
755,15% off,0.15,0.15,415.0,16.0
762,50%,0.5,0.5,413.0,16.0
767,$145,0.6605922551252847,0.6606,415.0,17.0
787,90%,0.9,0.9,415.0,16.0
790,< 50% o,0.5,0.5,416.0,16.0
805,54% off,0.54,0.54,413.0,16.0
807,36% Off,0.36,0.36,416.0,16.0
816,42% Off,0.42,0.42,417.0,16.0
838,40% Off,0.4,0.4,417.0,16.0
850,55,0.2340425531914893,0.234,411.0,17.0
865,81% off,0.81,0.81,413.0,16.0
881,24%,0.24,0.24,412.0,16.0
896,75%,0.75,0.75,414.0,16.0
899,$400,0.2500015625097657,0.25,415.0,16.0
922,55%,0.55,0.55,413.0,16.0
931,100%,1.0,1.0,413.0,16.0
938,$80 off,0.7273388489862715,0.7273,417.0,17.0
942,$900 off,0.310345897744475,0.31036,418.0,17.0
947,50%,0.5,0.5,413.0,16.0
958,12% off,0.12,0.12,416.0,16.0
964,35% off,0.35,0.35,414.0,16.0
966,50%,0.5,0.5,413.0,16.0
969,63% off,0.63,0.63,416.0,16.0
974,4.70,0.5228031145717464,0.5228696741854636,415.0,21.0
983,25-30%+20%,0.3,,418.0,13.0
987,94-99%,0.99,0.965,415.0,104.0
995,43%,0.43,0.43,415.0,16.0
999,27%,0.27,0.27,415.0,16.0
1003,50%,0.5,0.5,414.0,16.0
1011,50% off,0.5,0.5,413.0,16.0
1013,$965,0.4204811349940523,0.42046,416.0,17.0
1016,99.99,0.5882456759618778,0.5882,415.0,17.0
1019,45% off,0.45,0.45,415.0,16.0
1028,33%,0.33,0.33,414.0,16.0
1037,$100,0.1112347052280311,0.1112,412.0,17.0
1041,$190.00,0.4761904761904761,0.4762,416.0,17.0
1049,20% off,0.2,0.2,415.0,16.0
1050,$24 off,0.1263224380230538,0.126,416.0,16.0
1055,30%+,0.3,0.3,414.0,16.0
1062,50%,0.5,0.5,413.0,16.0
1067,40% off,0.4,0.4,416.0,16.0
1068,$90,0.1956564273136372,0.19565,415.0,17.0
1076,22.3% - 26,0.223,0.223,418.0,16.0
1080,100%,1.0,1.0,413.0,16.0
1086,$6 off,0.2000666888962987,,415.0,13.0
1093,30~60%,0.6,,415.0,91.0
1102,60% off,0.6,0.6,415.0,16.0
1107,45% off,0.45,0.45,415.0,16.0
1114,$40.00,0.7274049827241317,0.7276,417.0,17.0
1115,50% off,0.5,0.5,416.0,16.0
1119,50% off,0.5,0.5,414.0,16.0
1121,25% off,0.25,0.25,414.0,16.0
1128,24% off,0.24,0.24,415.0,16.0
1130,$10 OFF,0.111123458162018,0.1111,419.0,17.0
1140,21,0.0138248847926267,0.01382,414.0,17.0
1149,28%,0.28,0.28,414.0,16.0
1152,31%,0.31,0.31,412.0,16.0
1166,$10 off,0.2857142857142857,0.2857142857142857,415.0,21.0
1167,$5 off $25,0.1666666666666666,,417.0,13.0
1184,10% off,0.1,0.1,414.0,16.0
1185,90%,0.9,0.9,414.0,16.0
1187,$75 off,0.6818801709246295,0.6819,417.0,17.0
1198,6 off,0.2501042100875364,0.25011,415.0,17.0
1204,$11 off,0.5502751375687843,0.5503,416.0,17.0
1215,55%,0.55,0.55,414.0,16.0
1218,29% off,0.29,0.29,414.0,16.0
1227,100%,1.0,1.0,413.0,16.0
1230,30% off,0.3,0.3,414.0,16.0
1233,50%,0.5,0.5,414.0,16.0
1244,$80 off,0.2105318561014763,0.2105,416.0,17.0
1251,$20,0.5001250312578145,0.5001,414.0,98.0
1255,20,0.3333888981496916,0.3335,413.0,17.0
1266,47% Off,0.47,0.47,416.0,16.0
1272,13% Off,0.13,0.13,416.0,16.0
1281,86%,0.86,0.86,413.0,16.0
1289,$91 Off,0.3791666666666666,0.379167,416.0,17.0
1297,38% off,0.38,0.38,416.0,16.0
1304,$5,0.2174858634188778,0.2176,414.0,17.0
1306,50% off,0.5,0.5,414.0,16.0
1323,50% off,0.5,0.5,414.0,16.0
1324,$5 off,0.2000800320128051,0.2,416.0,16.0
